nameBold,nameThin,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
Le Lion Féroce,,Sarl Vignobles Plaza Tedaldi,2019,14.5,750.0,109.0,Frankrike,Languedoc-Roussillon,Minervois,Rött vin,Fruktigt & Smakrikt,Serveras vid cirka 18°C till rätter av lamm- eller nötkött.,"Fruktigt, smakrikt vin med inslag av björnbär, kryddor, plommon, lakrits, sandelträ och färska örter.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/le-lion-féroce-2232401,https://product-cdn.systembolaget.se/productimages/24516817/24516817,Syrah---Grenache---Carignan---Mourvèdre
Perdeberg Cellar,Reserve Collection,Perdeberg Winery,2019,14.0,750.0,89.0,Sydafrika,Western Cape,Coastal Region,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till grillade rätter av lamm- eller nötkött.,"Fruktigt, smakrikt vin med inslag av fat, plommon, blåbär, svartpeppar, körsbär och vanilj.",0.0%,0.0%,66.66666666666666%,75.0%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/perdeberg-cellar-204601,https://product-cdn.systembolaget.se/productimages/24489832/24489832,Cabernet sauvignon---Malbec---Shiraz
Sant'ilia,Chardonnay,Edoardo Miroglio Eood,2019,13.0,750.0,89.0,Bulgarien,Trakien,,Vitt vin,Fylligt & Smakrikt,"Serveras vid 10-12°C till smakrika vegetariska rätter, eller till fisk och ljust kött.","Fruktig smak med fatkaraktär, inslag av gula äpplen, brynt smör, persika, kryddor, nötter och apelsin.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/sant'ilia-218901,https://product-cdn.systembolaget.se/productimages/24513133/24513133,Chardonnay---Sauvignon blanc
Offley,10 Years Old Tawny Porto,Sogrape Vinhos,,20.0,750.0,239.0,Portugal,Douro,Porto,Aperitif & Dessert,Portvin,"Serveras vid 14-16°C till desserter innehållande nötter och choklad, eller till lagrade ostar.","Komplex, utvecklad, söt smak med fatkaraktär, inslag av torkade dadlar, hasselnötter, apelsinskal, choklad, russin och kanel.",0.0%,75.0%,0.0%,66.66666666666666%,0.0%,https://www.systembolaget.se/produkt/vin/offley-802601,https://product-cdn.systembolaget.se/productimages/24519118/24519118,
Cameleon White Blend,,Domaine Bousquet,2020,14.0,3000.0,199.0,Argentina,Cuyo,Mendoza,Vitt vin,Friskt & Fruktigt,Serveras vid 8-10°C till rätter av fisk och skaldjur.,"Fruktig, ungdomlig smak med inslag av päron, persika, gröna äpplen, örter, ananas och lime.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/cameleon-white-blend-251908,https://product-cdn.systembolaget.se/productimages/24502481/24502481,Chardonnay---Pinot grigio---Sauvignon blanc
Cameleon Signature,Cabernet Sauvignon,Domaine Bousquet,2019,14.0,750.0,95.0,Argentina,Cuyo,Mendoza,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till rätter av lamm- och nötkött.,"Fruktig, nyanserad smak med fatkaraktär, inslag av av svarta vinbär, örter, plommon, mörka körsbär och choklad.",0.0%,0.0%,75.0%,75.0%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/cameleon-signature-207601,https://product-cdn.systembolaget.se/productimages/24494046/24494046,Cabernet sauvignon
Castillo Monjardin,Navarra Crianza,Castillo de Monjardin,2017,14.0,750.0,119.0,Spanien,Navarra,,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till rätter av lamm- och nötkött.,"Kryddig, fruktig smak med fatkaraktär, inslag av mörka körsbär, choklad, svarta vinbär, örter, plommon och kaffe.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/castillo-monjardin-203101,https://product-cdn.systembolaget.se/productimages/24478615/24478615,Tempranillo---Cabernet sauvignon---Merlot
Six Hats,Sauvignon Blanc,Piekenierskloof Wine Company,2020,12.5,750.0,79.0,Sydafrika,Western Cape,,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C som aperitif, eller till rätter av fisk och skaldjur.","Fruktig, aromatisk, mycket frisk smak med inslag av päron, svartvinbärsblad, passionsfrukt och citrus.",0.0%,8.333333333333332%,83.33333333333334%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/six-hats-678501,,Sauvignon blanc
Rebel,Organic Reserve,Grigori Estates,2020,14.0,750.0,89.0,Australien,South Australia,,Rött vin,Fruktigt & Smakrikt,"Serveras vid cirka 18°C till grillade rätter av lamm- eller nötkött, eller till smakrika vegetariska rätter.","Fruktig, ungdomlig smak med inslag av björnbär, skogshallon, kryddor, viol och jordgubbar.",0.0%,0.0%,75.0%,66.66666666666666%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/rebel-683001,https://product-cdn.systembolaget.se/productimages/24500522/24500522,Cabernet sauvignon---Petit verdot---Shiraz
Lievland,Lievland Syrah Mourvèdre Cinsault Grenache,Lievland Estate,2019,14.0,750.0,129.0,Sydafrika,Western Cape,Coastal Region,Rött vin,Fruktigt & Smakrikt,"Serveras vid 16-18°C till grillade rätter av lamm- eller nötkött, eller till smakrika vegetariska rätter.","Mycket fruktig smak med fatkaraktär, inslag av skogshallon, björnbär, choklad, örter , peppar och vanilj.",0.0%,0.0%,75.0%,66.66666666666666%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/lievland-657501,https://product-cdn.systembolaget.se/productimages/24500921/24500921,Syrah---Grenache---Mourvèdre---Cinsault
